C1,0.63,0.41,0.76,12.84
C2,0.52,0.39,0.68,10.92
C3,0.74,0.45,0.82,15.34
C4,0.59,0.43,0.77,14.11
C5,0.67,0.40,0.71,11.78
C6,0.55,0.42,0.79,13.50
C7,0.70,0.47,0.75,16.22
C8,0.61,0.38,0.80,12.11
C9,0.66,0.44,0.70,14.92
C10,0.58,0.41,0.72,13.65
C11,0.65,0.46,0.79,15.02
C12,0.72,0.49,0.83,17.43
C13,0.56,0.40,0.74,12.23
C14,0.69,0.43,0.76,14.88
C15,0.60,0.42,0.71,13.07
C16,0.64,0.45,0.78,16.01
C17,0.68,0.48,0.80,15.75
C18,0.62,0.40,0.74,13.41
C19,0.74,0.44,0.72,16.54
C20,0.55,0.41,0.73,11.67
C21,0.58,0.40,0.79,14.12
C22,0.61,0.46,0.81,15.19
C23,0.67,0.39,0.75,12.60
C24,0.69,0.43,0.77,14.25
C25,0.66,0.41,0.73,13.90
C26,0.60,0.44,0.75,12.98
C27,0.63,0.47,0.74,14.79
C28,0.71,0.40,0.72,15.10
C29,0.57,0.42,0.78,13.25
C30,0.64,0.46,0.80,16.02
C31,0.62,0.39,0.74,12.81
C32,0.65,0.45,0.76,15.30
C33,0.68,0.48,0.82,17.20
C34,0.59,0.44,0.75,13.57
C35,0.72,0.47,0.79,16.35
C36,0.55,0.41,0.77,11.85
C37,0.70,0.46,0.73,14.62
C38,0.73,0.40,0.80,16.50
C39,0.56,0.42,0.71,12.43
C40,0.69,0.44,0.75,14.09
C41,0.61,0.43,0.72,13.11
C42,0.65,0.41,0.78,14.66
C43,0.60,0.40,0.73,13.92
C44,0.62,0.45,0.76,15.78
C45,0.57,0.48,0.74,12.98
C46,0.64,0.42,0.79,15.31
C47,0.68,0.44,0.70,16.15
C48,0.58,0.41,0.75,13.25
C49,0.66,0.47,0.81,14.95
C50,0.60,0.39,0.72,13.45
C51,0.73,0.43,0.79,15.68
C52,0.62,0.46,0.80,16.22
C53,0.67,0.42,0.77,14.31
C54,0.59,0.44,0.73,13.50
C55,0.71,0.40,0.76,15.12
C56,0.63,0.47,0.74,14.89
C57,0.60,0.45,0.80,15.24
C58,0.68,0.41,0.79,16.33
C59,0.64,0.42,0.74,14.60
C60,0.69,0.47,0.75,15.88
C61,0.58,0.46,0.78,13.18
C62,0.65,0.40,0.70,12.95
C63,0.62,0.41,0.73,13.85
C64,0.67,0.44,0.77,15.20
C65,0.70,0.45,0.79,16.05
C66,0.59,0.43,0.74,13.68
C67,0.61,0.42,0.80,14.40
C68,0.63,0.48,0.75,14.73
C69,0.55,0.40,0.71,12.85
C70,0.64,0.41,0.73,14.10
C71,0.70,0.46,0.78,15.60
C72,0.62,0.47,0.76,15.37
C73,0.66,0.40,0.79,14.44
C74,0.69,0.45,0.73,15.90
C75,0.60,0.42,0.72,13.30
C76,0.63,0.46,0.79,15.25
C77,0.55,0.41,0.77,12.60
C78,0.71,0.43,0.74,16.45
C79,0.68,0.40,0.76,15.20
C80,0.67,0.42,0.73,14.96
C81,0.72,0.48,0.80,17.10
C82,0.65,0.44,0.75,15.07
C83,0.63,0.41,0.77,13.84
C84,0.59,0.46,0.73,14.25
C85,0.64,0.43,0.70,13.65
C86,0.66,0.47,0.75,14.88
C87,0.70,0.44,0.72,15.74
C88,0.68,0.42,0.76,14.80
C89,0.72,0.47,0.78,16.32
C90,0.67,0.43,0.74,15.45
C91,0.64,0.42,0.79,14.78
C92,0.70,0.46,0.73,15.14
C93,0.58,0.40,0.75,13.20
C94,0.60,0.41,0.76,14.35
C95,0.66,0.45,0.79,15.63
C96,0.63,0.40,0.72,13.93
C97,0.61,0.43,0.75,14.60
C98,0.67,0.42,0.70,14.02
C99,0.59,0.44,0.77,13.50
C100,0.72,0.47,0.79,16.22
C101,0.64,0.46,0.80,14.95
C102,0.66,0.45,0.73,15.60
C103,0.69,0.44,0.74,15.25
C104,0.67,0.41,0.79,14.56
C105,0.70,0.48,0.76,15.80
C106,0.59,0.42,0.75,13.12
C107,0.63,0.44,0.77,14.39
C108,0.62,0.40,0.78,13.70
C109,0.65,0.47,0.74,15.35
C110,0.58,0.43,0.79,13.11
C111,0.72,0.45,0.71,16.50
C112,0.61,0.47,0.74,14.20
C113,0.67,0.44,0.77,15.10
C114,0.60,0.42,0.79,13.98
C115,0.66,0.43,0.70,14.55
C116,0.68,0.45,0.75,16.05
C117,0.72,0.46,0.77,16.30
C118,0.64,0.44,0.76,15.52
C119,0.65,0.47,0.79,14.90
C120,0.59,0.41,0.75,13.40
